element_in,element_in_cost,element_out,element_out_cost,entry,event,time
22,62,138,76,2052381,18,2021-12-18T15:37:12.839313Z
432,42,562,39,2052381,18,2021-12-18T15:37:12.839032Z
122,57,16,48,2052381,18,2021-12-18T15:37:12.838695Z
550,45,568,45,2052381,18,2021-12-18T13:26:54.662153Z
577,46,579,125,2052381,18,2021-12-17T20:50:18.557997Z
6,83,468,57,2052381,18,2021-12-17T20:50:18.557725Z
568,45,40,76,2052381,18,2021-12-17T20:50:18.557413Z
138,76,420,65,2052381,18,2021-12-17T20:50:18.557136Z
265,80,354,45,2052381,18,2021-12-17T20:50:18.556865Z
255,106,144,61,2052381,18,2021-12-17T20:50:18.556580Z
16,48,429,45,2052381,18,2021-12-17T20:50:18.556252Z
562,39,56,41,2052381,18,2021-12-17T20:50:18.555973Z
559,51,69,45,2052381,18,2021-12-17T20:50:18.555595Z
94,39,54,40,2052381,18,2021-12-17T20:50:18.555097Z
240,80,261,76,2052381,18,2021-12-17T20:23:44.444913Z
40,75,78,66,2052381,17,2021-12-12T23:00:14.035450Z
261,76,359,103,2052381,16,2021-12-10T14:14:12.686822Z
420,65,148,44,2052381,16,2021-12-10T14:14:12.681957Z
468,57,430,77,2052381,15,2021-12-04T01:55:14.389365Z
144,61,96,56,2052381,14,2021-11-28T16:00:14.553510Z
430,77,413,80,2052381,13,2021-11-21T20:26:55.734327Z
359,103,482,55,2052381,12,2021-11-09T17:59:15.260003Z
78,66,205,107,2052381,11,2021-11-05T00:17:57.460894Z
96,56,196,66,2052381,10,2021-10-29T23:42:03.279512Z
237,76,67,44,2052381,10,2021-10-29T23:42:03.272979Z
142,55,122,58,2052381,9,2021-10-22T16:50:41.118760Z
205,106,529,116,2052381,9,2021-10-21T17:57:42.060425Z
256,61,237,75,2052381,8,2021-10-03T23:13:10.884303Z
482,54,484,57,2052381,7,2021-09-26T20:08:05.126606Z
413,79,430,74,2052381,6,2021-09-24T08:35:37.905691Z
148,45,240,76,2052381,6,2021-09-24T08:35:37.905061Z
237,76,185,45,2052381,6,2021-09-24T08:35:37.900782Z
196,65,435,60,2052381,5,2021-09-14T00:01:57.901914Z
430,74,413,77,2052381,5,2021-09-13T23:37:37.014001Z
122,57,133,50,2052381,4,2021-09-11T09:29:19.232747Z
429,45,432,45,2052381,4,2021-09-11T02:21:33.319061Z
432,45,429,45,2052381,4,2021-09-10T14:19:29.482858Z
54,40,389,45,2052381,4,2021-09-08T17:51:44.970143Z
69,45,376,40,2052381,4,2021-09-08T17:51:44.969785Z
484,56,268,71,2052381,4,2021-09-08T11:15:56.609994Z
67,44,290,40,2052381,4,2021-09-08T11:15:56.607927Z
268,71,484,56,2052381,4,2021-09-08T00:15:39.206339Z
290,40,275,55,2052381,4,2021-09-08T00:15:39.206011Z
484,56,268,71,2052381,4,2021-09-08T00:06:21.021216Z
275,55,290,40,2052381,4,2021-09-08T00:06:21.020894Z
268,71,484,56,2052381,4,2021-09-08T00:04:42.754622Z
290,40,275,55,2052381,4,2021-09-08T00:04:42.754293Z
484,56,369,60,2052381,4,2021-09-07T23:44:36.116841Z
369,60,484,56,2052381,4,2021-09-07T23:44:02.534400Z
484,56,369,60,2052381,4,2021-09-07T23:39:57.972221Z
275,55,208,40,2052381,4,2021-09-07T23:39:57.971891Z
369,60,268,71,2052381,4,2021-09-07T23:01:16.245575Z
429,45,432,45,2052381,4,2021-09-03T17:46:01.600875Z
432,45,429,45,2052381,4,2021-09-03T17:24:57.149604Z
389,45,69,45,2052381,4,2021-09-03T17:24:57.149280Z
376,40,54,40,2052381,4,2021-09-03T17:24:57.148806Z
133,50,121,54,2052381,4,2021-09-03T16:51:26.437021Z
240,76,484,55,2052381,4,2021-09-02T08:29:10.921237Z
121,54,237,75,2052381,4,2021-09-02T08:29:10.920804Z
435,60,138,75,2052381,4,2021-09-01T23:52:41.601139Z
237,75,262,60,2052381,4,2021-09-01T23:52:41.600791Z
138,75,196,65,2052381,4,2021-09-01T07:19:52.897902Z
262,60,234,70,2052381,4,2021-09-01T07:19:52.895478Z
529,115,577,45,2052381,4,2021-09-01T07:06:08.108302Z
354,45,359,101,2052381,4,2021-09-01T07:06:08.107708Z
196,65,240,76,2052381,4,2021-09-01T07:06:08.107071Z
577,45,189,79,2052381,4,2021-09-01T07:02:35.543531Z
359,101,196,65,2052381,4,2021-09-01T07:02:35.543249Z
234,70,237,75,2052381,4,2021-09-01T07:02:35.542924Z
189,79,529,115,2052381,4,2021-09-01T06:49:49.297694Z
196,65,435,60,2052381,4,2021-09-01T06:49:49.297417Z
240,76,354,45,2052381,4,2021-09-01T06:49:49.297073Z
435,60,138,75,2052381,4,2021-09-01T06:41:21.222895Z
237,75,256,60,2052381,4,2021-09-01T06:41:21.222538Z
138,75,435,60,2052381,4,2021-09-01T06:35:49.823815Z
256,60,237,75,2052381,4,2021-09-01T06:35:49.823485Z
429,45,371,45,2052381,4,2021-08-31T21:26:51.148551Z
579,125,78,64,2052381,4,2021-08-31T16:23:49.238801Z
268,71,419,62,2052381,4,2021-08-31T16:23:49.238527Z
435,60,277,120,2052381,4,2021-08-31T16:23:49.238221Z
354,45,115,45,2052381,4,2021-08-31T16:23:49.237911Z
371,45,275,55,2052381,4,2021-08-31T16:23:49.237580Z
56,41,245,41,2052381,4,2021-08-28T21:33:16.625425Z
529,115,337,80,2052381,3,2021-08-23T16:12:49.658341Z
484,55,289,75,2052381,3,2021-08-23T16:12:49.654455Z
185,45,168,55,2052381,3,2021-08-22T20:38:59.321477Z
